net_number,Species,obs_yr,num_birds,perc_species
1,PISI,2018,3,1.694915254237288
1,PIWA,2010,3,2.564102564102564
1,PIWA,2011,2,3.076923076923077
1,PIWA,2019,1,1.8518518518518516
1,PRAW,2008,1,1.1627906976744187
1,PRAW,2010,2,1.7094017094017095
1,PRAW,2011,1,1.5384615384615385
1,PRAW,2012,1,1.7241379310344827
1,PRAW,2014,1,4.166666666666666
1,PRAW,2015,1,0.8695652173913043
1,PUFI,2008,1,1.1627906976744187
1,PUFI,2015,6,5.217391304347826
1,PUFI,2020,1,6.666666666666667
1,RBGR,2010,1,0.8547008547008548
1,RBGR,2018,4,2.2598870056497176
1,RBNU,2018,13,7.344632768361582
1,RBNU,2019,2,3.7037037037037033
1,RCKI,2009,2,1.5873015873015872
1,RCKI,2010,1,0.8547008547008548
1,RCKI,2011,1,1.5384615384615385
1,RCKI,2013,2,6.0606060606060606
1,RCKI,2014,1,4.166666666666666
1,RCKI,2018,3,1.694915254237288
1,REVI,2008,2,2.3255813953488373
1,SAVS,2021,1,100
1,SCJU,2007,5,3.875968992248062
1,SCJU,2008,1,1.1627906976744187
1,SCJU,2010,1,0.8547008547008548
1,SCJU,2011,1,1.5384615384615385
1,SCJU,2014,1,4.166666666666666
1,SCJU,2015,8,6.956521739130435
1,SCJU,2018,1,0.5649717514124294
1,SCJU,2020,2,13.333333333333334
1,SOSP,2007,3,2.3255813953488373
1,SOSP,2008,4,4.651162790697675
1,SOSP,2009,2,1.5873015873015872
1,SOSP,2010,9,7.6923076923076925
1,SOSP,2011,3,4.615384615384616
1,SOSP,2015,1,0.8695652173913043
1,SOSP,2017,1,14.285714285714285
1,SOSP,2018,6,3.389830508474576
1,SOSP,2020,1,6.666666666666667
1,SUTA,2008,2,2.3255813953488373
1,SUTA,2013,1,3.0303030303030303
1,SWSP,2007,2,1.550387596899225
1,SWSP,2013,2,6.0606060606060606
1,TUTI,2007,3,2.3255813953488373
1,TUTI,2008,7,8.13953488372093
1,TUTI,2009,5,3.968253968253968
1,TUTI,2010,11,9.401709401709402
1,TUTI,2011,1,1.5384615384615385
1,TUTI,2012,6,10.344827586206897
1,TUTI,2015,6,5.217391304347826
1,TUTI,2017,2,28.57142857142857
1,TUTI,2018,13,7.344632768361582
1,TUTI,2019,9,16.666666666666664
1,TUTI,2020,1,6.666666666666667
1,WBNU,2018,1,0.5649717514124294
1,WEVI,2009,1,0.7936507936507936
1,WEVI,2010,1,0.8547008547008548
1,WEVI,2014,2,8.333333333333332
1,WEVI,2015,3,2.608695652173913
1,WPWA,2011,2,3.076923076923077
1,WPWA,2012,5,8.620689655172415
1,WPWA,2018,1,0.5649717514124294
1,WTSP,2010,1,0.8547008547008548
1,WTSP,2016,1,25
1,WTSP,2018,7,3.954802259887006
1,YBCH,2010,3,2.564102564102564
1,YBCH,2011,1,1.5384615384615385
1,YBCH,2014,1,4.166666666666666
1,YBCH,2015,2,1.7391304347826086
1,YBSA,2018,1,0.5649717514124294
1,YSFL,2015,1,0.8695652173913043
2,AMGO,2016,1,2
2,AMGO,2017,1,3.225806451612903
2,AMGO,2018,3,5.172413793103448
2,AMGO,2019,3,7.142857142857142
2,BAWW,2016,1,2
2,BDOW,2009,1,33.33333333333333
2,BGGN,2015,1,7.6923076923076925
2,BHNU,2016,2,4
2,BRTH,2018,1,1.7241379310344827
2,CACH,2016,8,16
2,CACH,2017,3,9.67741935483871
2,CACH,2018,7,12.068965517241379
2,CACH,2019,2,4.761904761904762
2,CARW,2015,3,23.076923076923077
2,CARW,2016,1,2
2,CARW,2017,3,9.67741935483871
2,CARW,2018,3,5.172413793103448
2,CARW,2019,4,9.523809523809524
2,CHSP,2016,1,2
2,CHSP,2019,5,11.904761904761903
2,COYE,2007,1,100
2,COYE,2016,2,4
2,COYE,2017,2,6.451612903225806
2,COYE,2018,6,10.344827586206897
2,COYE,2019,1,2.380952380952381
2,COYE,2020,1,12.5
2,CSWA,2019,1,2.380952380952381
2,DOWO,2016,1,2
2,DOWO,2017,1,3.225806451612903
2,DOWO,2018,3,5.172413793103448
2,EAPH,2015,1,7.6923076923076925
2,EAPH,2016,1,2
2,EAPH,2017,2,6.451612903225806
2,EAPH,2019,1,2.380952380952381
2,EASO,2011,4,57.14285714285714
2,EASO,2012,1,10
2,EASO,2014,1,50
2,EATO,2018,2,3.4482758620689653
2,EATO,2019,2,4.761904761904762
2,EAWP,2018,1,1.7241379310344827
2,FISP,2017,2,6.451612903225806
2,FISP,2018,4,6.896551724137931
2,FISP,2019,7,16.666666666666664
2,GCKI,2016,1,2
2,GRCA,2018,2,3.4482758620689653
2,HETH,2015,1,7.6923076923076925
2,HETH,2020,1,12.5
2,HOWR,2018,1,1.7241379310344827
2,HOWR,2019,1,2.380952380952381
2,INBU,2010,1,25
2,INBU,2018,1,1.7241379310344827
2,KEWA,2016,1,2
2,MAWA,2020,1,12.5
2,MYWA,2015,2,15.384615384615385
2,MYWA,2016,1,2
2,MYWA,2017,3,9.67741935483871
2,MYWA,2018,2,3.4482758620689653
2,MYWA,2019,4,9.523809523809524
2,NOCA,2015,2,15.384615384615385
2,NOCA,2016,5,10
2,NOCA,2017,4,12.903225806451612
2,NOCA,2018,10,17.24137931034483
2,NOCA,2019,1,2.380952380952381
2,NOCA,2020,1,12.5
2,NOPA,2015,1,7.6923076923076925
2,NSWO,2008,1,100
2,NSWO,2010,3,75
2,NSWO,2011,3,42.857142857142854
2,NSWO,2012,9,90
2,NSWO,2013,1,100
2,NSWO,2014,1,50
2,NSWO,2016,1,2
2,PIWA,2016,1,2
2,PIWA,2017,1,3.225806451612903
2,RBWO,2016,1,2
