net_number,Species,num_birds,perc_species
4,EATO,8,0.53156146179402
4,EAWP,1,0.0664451827242525
4,EWCS,5,0.33222591362126247
4,FISP,155,10.299003322259136
4,FOSP,1,0.0664451827242525
4,GCFL,1,0.0664451827242525
4,GCKI,1,0.0664451827242525
4,GRCA,4,0.26578073089701
4,GRSP,1,0.0664451827242525
4,HAWO,1,0.0664451827242525
4,HOFI,9,0.5980066445182725
4,HOWR,23,1.5282392026578073
4,INBU,79,5.249169435215947
4,LISP,2,0.132890365448505
4,LOSH,1,0.0664451827242525
4,MODO,2,0.132890365448505
4,MYWA,17,1.1295681063122924
4,NOCA,57,3.7873754152823924
4,NOMO,39,2.5913621262458473
4,NOWA,6,0.3986710963455149
4,NSWO,8,0.53156146179402
4,OROR,2,0.132890365448505
4,PIWA,6,0.3986710963455149
